order_id,order_date,product_id,quantity,warehouse_id,customer_region,category,price,cost,city,capacity,revenue,month,forecast_quantity,abs_error
1,2023-01-28,54,9,1,DE-North,Industrial,316,261,Hamburg,12673,2844,2023-01,7.234587524035174,1.7654124759648262
2,2023-07-21,168,14,5,DE-West,Home,230,168,Hamburg,8086,3220,2023-07,14.990588249313733,0.990588249313733
3,2023-02-08,119,8,4,DE-North,Industrial,441,254,Hamburg,6906,3528,2023-02,6.609200167123286,1.3907998328767137
4,2023-09-30,143,14,8,DE-North,Industrial,146,294,Munich,10750,2044,2023-09,13.020211082765726,0.9797889172342735
5,2023-08-19,81,17,5,DE-West,Home,180,287,Hamburg,8086,3060,2023-08,19.554318962358273,2.5543189623582734
6,2023-03-27,245,14,4,DE-West,Home,219,224,Hamburg,6906,3066,2023-03,13.87727051931476,0.12272948068524059
7,2023-05-06,62,5,7,DE-West,Home,301,124,Berlin,13152,1505,2023-05,5.76673381768405,0.7667338176840497
8,2023-10-27,46,10,6,DE-South,Industrial,357,287,Frankfurt,18503,3570,2023-10,8.246076887635926,1.753923112364074
9,2023-01-25,87,6,4,DE-South,Automotive,457,81,Hamburg,6906,2742,2023-01,6.824129770295885,0.824129770295885
10,2023-05-25,99,10,8,DE-South,Automotive,202,71,Munich,10750,2020,2023-05,11.725939590764993,1.7259395907649928
11,2023-01-13,295,11,1,DE-North,Automotive,145,202,Hamburg,12673,1595,2023-01,12.819944419453108,1.8199444194531083
12,2023-07-31,53,6,2,DE-West,Home,178,272,Hamburg,11949,1068,2023-07,5.607647164834022,0.39235283516597796
13,2023-01-25,192,10,3,DE-West,Home,391,183,Munich,11882,3910,2023-01,8.380457882692758,1.6195421173072422
14,2023-03-09,80,14,7,DE-North,Industrial,257,56,Berlin,13152,3598,2023-03,16.32440692267442,2.32440692267442
15,2023-03-08,16,3,2,DE-South,Electronics,233,257,Hamburg,11949,699,2023-03,2.5888311107724298,0.4111688892275702
16,2023-08-21,194,7,3,DE-West,Home,499,155,Munich,11882,3493,2023-08,7.1288050985669855,0.12880509856698552
17,2023-04-19,141,2,6,DE-North,Industrial,326,89,Frankfurt,18503,652,2023-04,1.9259636866631111,0.07403631333688887
18,2023-05-26,108,7,1,DE-South,Industrial,257,58,Hamburg,12673,1799,2023-05,8.281993823955874,1.2819938239558741
19,2023-04-21,265,17,7,DE-North,Home,473,85,Berlin,13152,8041,2023-04,16.42839696291947,0.5716030370805285
20,2023-08-16,290,13,3,DE-South,Industrial,107,62,Munich,11882,1391,2023-08,12.325614384682776,0.6743856153172239
21,2023-04-21,209,9,6,DE-North,Automotive,404,272,Frankfurt,18503,3636,2023-04,9.312492552783896,0.31249255278389576
22,2023-02-03,165,13,7,DE-South,Automotive,329,192,Berlin,13152,4277,2023-02,13.144303302065424,0.14430330206542408
23,2023-04-21,152,15,4,DE-North,Home,241,160,Hamburg,6906,3615,2023-04,14.712766937278985,0.2872330627210147
24,2023-09-21,290,13,5,DE-North,Industrial,107,62,Hamburg,8086,1391,2023-09,13.013466030398689,0.0134660303986891
25,2023-08-24,268,17,7,DE-North,Industrial,318,211,Berlin,13152,5406,2023-08,14.269442871542893,2.7305571284571073
26,2023-03-24,151,8,7,DE-North,Home,84,192,Berlin,13152,672,2023-03,9.391727331788926,1.3917273317889265
27,2023-02-11,207,9,3,DE-West,Industrial,296,65,Munich,11882,2664,2023-02,8.101291478239812,0.898708521760188
28,2023-04-11,255,9,2,DE-West,Electronics,54,278,Hamburg,11949,486,2023-04,9.252493426679806,0.25249342667980557
29,2023-01-06,141,8,1,DE-West,Industrial,326,89,Hamburg,12673,2608,2023-01,6.513530671982947,1.4864693280170531
30,2023-06-29,96,16,1,DE-West,Automotive,276,284,Hamburg,12673,4416,2023-06,14.692284000215395,1.3077159997846053
31,2023-10-09,227,7,7,DE-North,Electronics,403,117,Berlin,13152,2821,2023-10,7.528364994345667,0.528364994345667
32,2023-11-16,193,17,7,DE-West,Electronics,200,109,Berlin,13152,3400,2023-11,16.710074047678777,0.289925952321223
33,2023-08-14,118,7,6,DE-West,Automotive,433,240,Frankfurt,18503,3031,2023-08,7.644466020284602,0.644466020284602
34,2023-11-11,5,6,5,DE-North,Home,179,297,Hamburg,8086,1074,2023-11,5.1729891284423175,0.8270108715576825
35,2023-12-31,243,5,4,DE-West,Industrial,354,70,Hamburg,6906,1770,2023-12,5.9761382583080795,0.9761382583080795
36,2023-08-17,21,17,7,DE-West,Automotive,329,273,Berlin,13152,5593,2023-08,16.630935010348505,0.3690649896514948
37,2023-10-16,152,8,4,DE-South,Home,241,160,Hamburg,6906,1928,2023-10,8.124124726915694,0.12412472691569398
38,2023-05-30,128,1,8,DE-West,Electronics,424,193,Munich,10750,424,2023-05,0.9030330396938528,0.09696696030614715
39,2023-10-04,124,16,1,DE-South,Home,82,93,Hamburg,12673,1312,2023-10,14.970543743639825,1.0294562563601755
40,2023-07-17,146,17,4,DE-West,Home,497,110,Hamburg,6906,8449,2023-07,18.051198599708055,1.051198599708055
41,2023-03-11,277,3,7,DE-North,Electronics,324,70,Berlin,13152,972,2023-03,2.8100722503660003,0.18992774963399972
