order_id,order_date,product_id,quantity,warehouse_id,customer_region,category,price,cost,city,capacity,shipment_id,supplier_id,ship_date,expected_delivery_date,delivery_date,delay,supplier_name,country,lead_time_days,revenue
1,2023-01-28,54,9,1,DE-North,Industrial,316,261,Hamburg,12673,1,26,2023-01-29,2023-02-03,2023-02-06,3,Supplier_26,Poland,12,2844
2,2023-07-21,168,14,5,DE-West,Home,230,168,Hamburg,8086,2,16,2023-07-24,2023-07-27,2023-07-28,1,Supplier_16,Germany,5,3220
3,2023-02-08,119,8,4,DE-North,Industrial,441,254,Hamburg,6906,3,29,2023-02-11,2023-02-17,2023-02-15,-2,Supplier_29,Czechia,8,3528
4,2023-09-30,143,14,8,DE-North,Industrial,146,294,Munich,10750,4,23,2023-10-02,2023-10-08,2023-10-08,0,Supplier_23,Poland,3,2044
5,2023-08-19,81,17,5,DE-West,Home,180,287,Hamburg,8086,5,17,2023-08-23,2023-08-30,2023-09-02,3,Supplier_17,Poland,9,3060
6,2023-03-27,245,14,4,DE-West,Home,219,224,Hamburg,6906,6,22,2023-03-31,2023-04-03,2023-04-06,3,Supplier_22,Poland,9,3066
7,2023-05-06,62,5,7,DE-West,Home,301,124,Berlin,13152,7,20,2023-05-10,2023-05-12,2023-05-13,1,Supplier_20,Germany,13,1505
8,2023-10-27,46,10,6,DE-South,Industrial,357,287,Frankfurt,18503,8,6,2023-10-29,2023-11-05,2023-11-03,-2,Supplier_6,Poland,12,3570
9,2023-01-25,87,6,4,DE-South,Automotive,457,81,Hamburg,6906,9,14,2023-01-26,2023-01-29,2023-01-27,-2,Supplier_14,Germany,4,2742
10,2023-05-25,99,10,8,DE-South,Automotive,202,71,Munich,10750,10,16,2023-05-26,2023-06-04,2023-06-02,-2,Supplier_16,Germany,5,2020
11,2023-01-13,295,11,1,DE-North,Automotive,145,202,Hamburg,12673,11,3,2023-01-17,2023-01-23,2023-01-21,-2,Supplier_3,Netherlands,10,1595
12,2023-07-31,53,6,2,DE-West,Home,178,272,Hamburg,11949,12,21,2023-08-04,2023-08-11,2023-08-09,-2,Supplier_21,Netherlands,8,1068
13,2023-01-25,192,10,3,DE-West,Home,391,183,Munich,11882,13,19,2023-01-26,2023-01-29,2023-02-01,3,Supplier_19,Germany,11,3910
14,2023-03-09,80,14,7,DE-North,Industrial,257,56,Berlin,13152,14,7,2023-03-11,2023-03-13,2023-03-11,-2,Supplier_7,Czechia,14,3598
15,2023-03-08,16,3,2,DE-South,Electronics,233,257,Hamburg,11949,15,5,2023-03-09,2023-03-18,2023-03-20,2,Supplier_5,Germany,9,699
16,2023-08-21,194,7,3,DE-West,Home,499,155,Munich,11882,16,20,2023-08-24,2023-08-31,2023-09-02,2,Supplier_20,Germany,13,3493
17,2023-04-19,141,2,6,DE-North,Industrial,326,89,Frankfurt,18503,17,26,2023-04-22,2023-05-01,2023-05-05,4,Supplier_26,Poland,12,652
18,2023-05-26,108,7,1,DE-South,Industrial,257,58,Hamburg,12673,18,23,2023-05-28,2023-06-02,2023-06-03,1,Supplier_23,Poland,3,1799
19,2023-04-21,265,17,7,DE-North,Home,473,85,Berlin,13152,19,23,2023-04-25,2023-04-30,2023-04-29,-1,Supplier_23,Poland,3,8041
20,2023-08-16,290,13,3,DE-South,Industrial,107,62,Munich,11882,20,10,2023-08-19,2023-08-27,2023-08-25,-2,Supplier_10,Germany,5,1391
21,2023-04-21,209,9,6,DE-North,Automotive,404,272,Frankfurt,18503,21,9,2023-04-22,2023-04-28,2023-05-01,3,Supplier_9,Germany,11,3636
22,2023-02-03,165,13,7,DE-South,Automotive,329,192,Berlin,13152,22,3,2023-02-06,2023-02-14,2023-02-13,-1,Supplier_3,Netherlands,10,4277
