order_id,order_date,product_id,quantity,warehouse_id,customer_region
1,2023-01-28,54,9,1,DE-North
2,2023-07-21,168,14,5,DE-West
3,2023-02-08,119,8,4,DE-North
4,2023-09-30,143,14,8,DE-North
5,2023-08-19,81,17,5,DE-West
6,2023-03-27,245,14,4,DE-West
7,2023-05-06,62,5,7,DE-West
8,2023-10-27,46,10,6,DE-South
9,2023-01-25,87,6,4,DE-South
10,2023-05-25,99,10,8,DE-South
11,2023-01-13,295,11,1,DE-North
12,2023-07-31,53,6,2,DE-West
13,2023-01-25,192,10,3,DE-West
14,2023-03-09,80,14,7,DE-North
15,2023-03-08,16,3,2,DE-South
16,2023-08-21,194,7,3,DE-West
17,2023-04-19,141,2,6,DE-North
18,2023-05-26,108,7,1,DE-South
19,2023-04-21,265,17,7,DE-North
20,2023-08-16,290,13,3,DE-South
21,2023-04-21,209,9,6,DE-North
22,2023-02-03,165,13,7,DE-South
23,2023-04-21,152,15,4,DE-North
24,2023-09-21,290,13,5,DE-North
25,2023-08-24,268,17,7,DE-North
26,2023-03-24,151,8,7,DE-North
27,2023-02-11,207,9,3,DE-West
28,2023-04-11,255,9,2,DE-West
29,2023-01-06,141,8,1,DE-West
30,2023-06-29,96,16,1,DE-West
31,2023-10-09,227,7,7,DE-North
32,2023-11-16,193,17,7,DE-West
33,2023-08-14,118,7,6,DE-West
34,2023-11-11,5,6,5,DE-North
35,2023-12-31,243,5,4,DE-West
36,2023-08-17,21,17,7,DE-West
37,2023-10-16,152,8,4,DE-South
38,2023-05-30,128,1,8,DE-West
39,2023-10-04,124,16,1,DE-South
40,2023-07-17,146,17,4,DE-West
41,2023-03-11,277,3,7,DE-North
42,2023-04-22,152,13,7,DE-West
43,2023-01-04,111,8,6,DE-North
44,2023-12-16,116,16,5,DE-West
45,2023-11-27,188,7,1,DE-West
46,2023-11-14,57,15,4,DE-North
47,2023-12-16,251,2,3,DE-North
48,2023-04-05,150,2,3,DE-North
49,2023-06-01,162,10,6,DE-North
50,2023-11-07,120,5,4,DE-South
51,2023-05-17,70,4,3,DE-South
52,2023-09-04,99,15,5,DE-North
53,2023-08-31,167,13,2,DE-South
54,2023-01-31,298,17,5,DE-West
55,2023-02-09,151,1,6,DE-West
56,2023-08-17,2,18,5,DE-West
57,2023-02-05,152,15,4,DE-South
58,2023-08-11,65,14,7,DE-South
59,2023-01-06,69,9,5,DE-West
60,2023-11-18,121,12,4,DE-North
61,2023-08-08,109,5,1,DE-West
62,2023-03-16,247,2,4,DE-South
63,2023-01-04,93,7,6,DE-West
64,2023-12-01,268,9,4,DE-West
65,2023-05-14,103,18,1,DE-South
66,2023-04-28,112,4,7,DE-South
67,2023-04-04,62,2,2,DE-South
68,2023-03-03,300,1,6,DE-South
69,2023-07-13,136,12,8,DE-West
70,2023-12-01,55,13,1,DE-South
71,2023-07-22,108,14,4,DE-North
72,2023-01-26,258,5,6,DE-South
73,2023-06-22,253,3,3,DE-South
74,2023-10-27,222,4,4,DE-West
75,2023-05-13,167,17,1,DE-North
76,2023-11-22,160,19,8,DE-North
77,2023-04-28,166,11,8,DE-North
78,2023-11-20,205,8,4,DE-South
79,2023-10-02,267,12,7,DE-West
80,2023-07-31,138,18,1,DE-West
81,2023-08-13,248,18,5,DE-South
82,2023-01-20,55,9,2,DE-North
83,2023-04-23,209,5,2,DE-North
84,2023-05-20,17,17,8,DE-West
85,2023-02-16,68,13,6,DE-South
86,2023-01-01,133,6,1,DE-North
87,2023-03-31,188,14,8,DE-South
88,2023-05-22,138,15,2,DE-West
89,2023-11-16,174,14,3,DE-South
90,2023-02-07,97,4,6,DE-South
91,2023-10-20,171,18,3,DE-South
92,2023-05-19,154,1,2,DE-South
93,2023-12-22,183,12,1,DE-North
94,2023-11-29,242,9,6,DE-West
95,2023-09-16,285,10,3,DE-North
96,2023-06-10,27,18,7,DE-North
97,2023-06-27,60,17,2,DE-North
98,2023-01-10,202,19,4,DE-North
99,2023-09-18,250,4,3,DE-West
100,2023-05-18,69,16,5,DE-West
101,2023-06-21,21,7,6,DE-North
102,2023-01-13,152,9,3,DE-South
103,2023-06-17,102,8,6,DE-South
104,2023-05-10,95,7,2,DE-South
105,2023-03-25,229,10,8,DE-South
106,2023-11-17,125,8,2,DE-South
107,2023-11-15,258,17,6,DE-West
108,2023-04-11,236,12,2,DE-South
109,2023-11-25,162,14,1,DE-West
110,2023-09-30,42,12,6,DE-South
111,2023-09-22,276,2,1,DE-South
112,2023-02-07,68,12,6,DE-North
113,2023-04-04,173,14,4,DE-North
114,2023-04-05,125,7,4,DE-North
115,2023-11-01,170,13,3,DE-West
116,2023-03-10,47,4,2,DE-West
117,2023-11-14,261,1,8,DE-North
118,2023-08-24,217,17,4,DE-North
119,2023-11-30,124,3,2,DE-South
120,2023-05-17,293,17,3,DE-West
121,2023-03-17,162,8,1,DE-South
122,2023-02-04,201,3,4,DE-South
123,2023-01-01,275,10,8,DE-North
124,2023-10-23,206,2,5,DE-South
125,2023-11-16,40,4,8,DE-South
126,2023-03-01,273,14,5,DE-North
127,2023-11-16,188,11,5,DE-North
128,2023-12-15,93,14,7,DE-South
129,2023-11-24,42,13,5,DE-South
130,2023-09-24,107,4,5,DE-South
131,2023-12-27,65,2,5,DE-West
132,2023-08-17,135,2,5,DE-South
133,2023-09-27,24,11,4,DE-North
134,2023-11-12,28,5,5,DE-South
135,2023-10-13,62,9,8,DE-West
136,2023-10-18,273,17,6,DE-South
137,2023-08-01,229,12,6,DE-West
138,2023-06-14,20,18,5,DE-West
139,2023-01-05,3,3,7,DE-North
140,2023-12-05,218,5,3,DE-South
141,2023-03-19,136,14,4,DE-West
142,2023-03-03,3,16,8,DE-South
143,2023-05-12,193,19,6,DE-West
144,2023-03-30,73,9,8,DE-North
145,2023-08-25,118,17,3,DE-North
146,2023-02-11,154,7,2,DE-South
147,2023-03-30,209,10,5,DE-South
148,2023-10-23,34,4,8,DE-South
149,2023-11-24,137,10,1,DE-South
150,2023-10-22,120,3,8,DE-South
151,2023-04-14,115,9,7,DE-West
152,2023-01-14,13,13,8,DE-South
153,2023-10-15,69,1,7,DE-West
154,2023-06-28,257,15,7,DE-West
155,2023-05-05,89,15,5,DE-West
156,2023-12-19,47,11,8,DE-South
157,2023-01-23,260,10,5,DE-North
158,2023-03-04,228,7,3,DE-North
159,2023-05-23,180,1,7,DE-South
160,2023-06-02,10,7,7,DE-South
161,2023-05-25,284,5,7,DE-South
162,2023-08-13,126,16,2,DE-West
163,2023-11-05,134,8,3,DE-North
164,2023-04-14,155,2,4,DE-North
165,2023-04-14,248,8,7,DE-North
166,2023-02-08,140,14,2,DE-North
167,2023-07-17,176,4,8,DE-West
168,2023-05-14,174,15,6,DE-South
169,2023-03-08,74,7,2,DE-West
170,2023-06-28,143,8,8,DE-South
171,2023-02-11,292,11,2,DE-South
172,2023-01-15,112,2,3,DE-North
173,2023-04-21,206,9,5,DE-North
174,2023-06-06,131,6,5,DE-South
175,2023-10-16,110,1,5,DE-South
176,2023-08-19,67,3,8,DE-North
177,2023-06-06,86,10,8,DE-North
178,2023-02-07,275,5,8,DE-North
179,2023-04-07,227,12,5,DE-North
180,2023-10-16,10,1,5,DE-North
181,2023-09-11,288,9,4,DE-West
182,2023-07-15,112,13,1,DE-West
183,2023-03-27,24,19,6,DE-West
184,2023-11-18,291,7,2,DE-North
185,2023-01-10,168,16,1,DE-South
186,2023-01-05,109,8,4,DE-South
187,2023-05-03,190,19,7,DE-North
188,2023-11-26,196,7,7,DE-West
189,2023-12-19,33,4,5,DE-South
190,2023-04-28,205,10,7,DE-North
191,2023-10-21,182,1,4,DE-West
192,2023-06-08,147,17,6,DE-West
193,2023-10-30,268,13,6,DE-West
194,2023-08-16,11,19,4,DE-West
195,2023-12-31,70,13,7,DE-West
196,2023-08-04,256,9,1,DE-West
197,2023-07-03,219,5,2,DE-West
198,2023-01-15,297,1,3,DE-West
199,2023-06-06,259,2,3,DE-West
200,2023-05-16,3,11,6,DE-West
201,2023-09-18,84,4,2,DE-North
202,2023-06-06,156,9,5,DE-South
203,2023-02-16,151,5,4,DE-North
204,2023-11-20,176,5,7,DE-South
205,2023-11-28,195,8,5,DE-North
206,2023-06-22,107,2,6,DE-South
207,2023-05-10,134,7,8,DE-South
208,2023-04-05,276,17,4,DE-South
209,2023-04-25,155,11,3,DE-North
210,2023-08-31,277,15,8,DE-South
211,2023-10-19,236,3,6,DE-West
212,2023-10-09,240,13,6,DE-South
213,2023-10-26,13,18,2,DE-North
214,2023-10-10,35,3,1,DE-North
215,2023-03-10,47,2,6,DE-West
216,2023-05-28,214,5,1,DE-South
217,2023-01-11,146,5,2,DE-North
218,2023-09-11,159,13,6,DE-South
219,2023-11-26,125,8,8,DE-West
220,2023-12-26,110,16,7,DE-West
221,2023-02-07,37,18,6,DE-North
222,2023-05-14,277,16,8,DE-South
223,2023-07-19,14,1,8,DE-West
224,2023-01-23,232,8,3,DE-West
225,2023-10-30,124,2,4,DE-North
226,2023-12-12,279,5,8,DE-West
227,2023-10-29,111,15,7,DE-North
228,2023-12-29,124,14,1,DE-West
229,2023-08-06,30,3,3,DE-West
230,2023-05-21,115,7,7,DE-North
231,2023-04-14,90,4,6,DE-North
232,2023-07-29,212,11,2,DE-South
233,2023-04-21,38,12,5,DE-West
234,2023-04-14,83,15,3,DE-South
235,2023-11-12,27,6,3,DE-South
236,2023-06-20,217,1,5,DE-North
237,2023-12-22,215,18,6,DE-West
238,2023-11-20,221,14,3,DE-North
239,2023-05-13,15,7,1,DE-West
240,2023-10-20,259,10,6,DE-North
241,2023-11-24,266,9,8,DE-West
242,2023-05-07,120,2,1,DE-South
243,2023-04-16,128,8,1,DE-West
244,2023-04-02,211,1,3,DE-West
245,2023-10-14,11,2,8,DE-North
246,2023-02-20,176,7,6,DE-West
247,2023-01-29,133,16,8,DE-West
248,2023-10-23,14,4,3,DE-West
249,2023-10-24,50,17,3,DE-West
250,2023-08-02,72,4,6,DE-South
251,2023-09-24,69,3,6,DE-North
252,2023-09-14,16,9,6,DE-West
253,2023-10-29,56,15,7,DE-North
254,2023-04-11,105,3,6,DE-South
255,2023-12-12,132,12,2,DE-South
256,2023-04-20,48,15,6,DE-West
257,2023-07-01,248,8,5,DE-North
258,2023-11-09,273,12,6,DE-North
259,2023-01-01,111,13,3,DE-North
260,2023-11-15,38,15,5,DE-South
261,2023-02-24,240,11,7,DE-South
262,2023-05-29,121,17,4,DE-West
263,2023-11-05,48,12,1,DE-North
264,2023-05-17,10,18,2,DE-North
265,2023-07-21,233,16,5,DE-South
266,2023-11-09,36,3,7,DE-West
267,2023-04-27,4,9,1,DE-West
268,2023-06-03,44,7,8,DE-West
269,2023-10-18,56,19,2,DE-South
270,2023-03-04,42,5,6,DE-North
271,2023-09-01,255,19,8,DE-West
272,2023-01-25,228,10,7,DE-West
273,2023-03-31,114,12,1,DE-North
274,2023-03-16,237,8,7,DE-West
275,2023-10-21,174,3,3,DE-South
276,2023-07-29,255,19,3,DE-West
277,2023-12-13,277,11,6,DE-North
278,2023-01-17,69,8,1,DE-South
279,2023-05-08,230,13,6,DE-West
280,2023-12-30,67,10,6,DE-North
281,2023-09-08,36,18,2,DE-North
282,2023-06-28,159,12,1,DE-North
283,2023-07-01,149,7,4,DE-North
284,2023-06-01,27,11,6,DE-West
285,2023-01-25,72,10,2,DE-West
286,2023-06-29,248,3,2,DE-South
287,2023-07-17,101,7,1,DE-South
288,2023-12-10,190,4,5,DE-North
289,2023-06-10,96,8,7,DE-North
290,2023-06-26,282,8,6,DE-South
291,2023-10-12,278,6,6,DE-West
292,2023-03-04,17,13,1,DE-West
293,2023-05-30,263,12,5,DE-West
294,2023-06-03,107,3,2,DE-North
295,2023-06-05,68,6,8,DE-South
296,2023-02-18,128,19,7,DE-South
297,2023-12-03,293,11,3,DE-South
298,2023-03-25,294,4,6,DE-West
299,2023-12-27,96,15,3,DE-South
300,2023-06-26,1,2,7,DE-South
301,2023-05-28,298,15,6,DE-West
302,2023-04-28,180,17,7,DE-North
303,2023-12-08,181,2,1,DE-North
304,2023-03-04,235,7,6,DE-West
305,2023-07-08,8,16,5,DE-South
306,2023-12-26,27,5,6,DE-North
307,2023-02-18,146,16,1,DE-North
308,2023-11-23,91,19,7,DE-North
309,2023-09-14,272,2,4,DE-West
310,2023-08-12,5,15,1,DE-North
311,2023-05-21,82,4,1,DE-South
312,2023-08-03,219,2,8,DE-West
313,2023-07-30,118,10,8,DE-West
314,2023-11-14,81,5,1,DE-North
315,2023-02-01,70,18,1,DE-South
316,2023-06-07,115,4,5,DE-West
317,2023-10-12,263,1,6,DE-North
318,2023-11-01,142,18,5,DE-South
319,2023-10-13,207,6,5,DE-South
320,2023-05-24,111,14,4,DE-West
321,2023-01-19,112,10,4,DE-North
322,2023-01-18,43,18,6,DE-South
323,2023-09-14,285,9,6,DE-West
324,2023-03-19,128,12,7,DE-West
325,2023-06-24,185,10,1,DE-West
326,2023-07-13,229,19,5,DE-West
327,2023-04-23,221,6,4,DE-West
328,2023-04-24,117,14,3,DE-South
329,2023-08-10,70,8,1,DE-West
330,2023-06-15,70,14,7,DE-North
331,2023-11-15,110,11,2,DE-North
332,2023-05-12,132,16,5,DE-South
333,2023-09-21,56,6,1,DE-West
334,2023-02-24,89,15,6,DE-West
335,2023-12-25,137,15,1,DE-South
336,2023-05-11,131,14,2,DE-West
337,2023-10-15,218,12,6,DE-West
338,2023-09-23,176,2,3,DE-North
339,2023-06-11,171,8,4,DE-West
340,2023-03-28,100,19,4,DE-South
341,2023-02-24,129,14,2,DE-North
342,2023-10-15,57,5,7,DE-South
343,2023-06-27,181,9,2,DE-South
344,2023-12-15,246,13,7,DE-West
345,2023-01-08,144,9,7,DE-West
346,2023-11-17,51,14,8,DE-North
347,2023-11-09,218,5,4,DE-South
348,2023-09-04,104,2,3,DE-South
349,2023-11-19,55,7,8,DE-West
350,2023-09-12,257,16,3,DE-South
351,2023-11-24,156,11,1,DE-South
352,2023-02-23,53,11,2,DE-South
353,2023-09-06,187,12,8,DE-South
354,2023-08-27,150,13,2,DE-South
355,2023-08-17,264,8,8,DE-North
