shipment_id,order_id,supplier_id,ship_date,expected_delivery_date,delivery_date
1,1,26,2023-01-29,2023-02-03,2023-02-06
2,2,16,2023-07-24,2023-07-27,2023-07-28
3,3,29,2023-02-11,2023-02-17,2023-02-15
4,4,23,2023-10-02,2023-10-08,2023-10-08
5,5,17,2023-08-23,2023-08-30,2023-09-02
6,6,22,2023-03-31,2023-04-03,2023-04-06
7,7,20,2023-05-10,2023-05-12,2023-05-13
8,8,6,2023-10-29,2023-11-05,2023-11-03
9,9,14,2023-01-26,2023-01-29,2023-01-27
10,10,16,2023-05-26,2023-06-04,2023-06-02
11,11,3,2023-01-17,2023-01-23,2023-01-21
12,12,21,2023-08-04,2023-08-11,2023-08-09
13,13,19,2023-01-26,2023-01-29,2023-02-01
14,14,7,2023-03-11,2023-03-13,2023-03-11
15,15,5,2023-03-09,2023-03-18,2023-03-20
16,16,20,2023-08-24,2023-08-31,2023-09-02
17,17,26,2023-04-22,2023-05-01,2023-05-05
18,18,23,2023-05-28,2023-06-02,2023-06-03
19,19,23,2023-04-25,2023-04-30,2023-04-29
20,20,10,2023-08-19,2023-08-27,2023-08-25
21,21,9,2023-04-22,2023-04-28,2023-05-01
22,22,3,2023-02-06,2023-02-14,2023-02-13
23,23,27,2023-04-22,2023-04-24,2023-04-26
24,24,27,2023-09-22,2023-09-27,2023-09-27
25,25,10,2023-08-25,2023-09-03,2023-09-07
26,26,16,2023-03-27,2023-04-05,2023-04-08
27,27,24,2023-02-13,2023-02-18,2023-02-16
28,28,23,2023-04-12,2023-04-17,2023-04-20
29,29,9,2023-01-09,2023-01-13,2023-01-14
30,30,2,2023-07-03,2023-07-08,2023-07-07
31,31,6,2023-10-11,2023-10-20,2023-10-21
32,32,5,2023-11-19,2023-11-28,2023-11-26
33,33,3,2023-08-16,2023-08-20,2023-08-24
34,34,7,2023-11-14,2023-11-17,2023-11-16
35,35,15,2024-01-01,2024-01-07,2024-01-10
36,36,21,2023-08-21,2023-08-27,2023-08-30
37,37,6,2023-10-19,2023-10-26,2023-10-25
38,38,4,2023-06-01,2023-06-08,2023-06-11
39,39,23,2023-10-08,2023-10-12,2023-10-10
40,40,29,2023-07-21,2023-07-23,2023-07-23
41,41,13,2023-03-15,2023-03-22,2023-03-20
42,42,23,2023-04-23,2023-04-30,2023-05-01
43,43,5,2023-01-05,2023-01-09,2023-01-11
44,44,15,2023-12-19,2023-12-27,2023-12-29
45,45,7,2023-11-28,2023-12-03,2023-12-07
46,46,7,2023-11-18,2023-11-25,2023-11-27
47,47,10,2023-12-18,2023-12-26,2023-12-30
48,48,13,2023-04-09,2023-04-11,2023-04-10
49,49,24,2023-06-05,2023-06-13,2023-06-12
50,50,30,2023-11-08,2023-11-14,2023-11-12
51,51,11,2023-05-19,2023-05-28,2023-05-27
52,52,1,2023-09-08,2023-09-11,2023-09-14
53,53,20,2023-09-02,2023-09-05,2023-09-06
54,54,11,2023-02-02,2023-02-06,2023-02-09
55,55,1,2023-02-13,2023-02-22,2023-02-20
56,56,3,2023-08-18,2023-08-25,2023-08-26
57,57,8,2023-02-06,2023-02-10,2023-02-12
58,58,13,2023-08-14,2023-08-18,2023-08-22
59,59,28,2023-01-10,2023-01-14,2023-01-15
60,60,7,2023-11-22,2023-11-30,2023-12-03
61,61,3,2023-08-10,2023-08-16,2023-08-18
62,62,20,2023-03-18,2023-03-23,2023-03-22
63,63,2,2023-01-07,2023-01-13,2023-01-11
64,64,18,2023-12-04,2023-12-07,2023-12-07
65,65,5,2023-05-16,2023-05-25,2023-05-29
66,66,29,2023-04-30,2023-05-08,2023-05-09
67,67,18,2023-04-07,2023-04-10,2023-04-08
68,68,16,2023-03-04,2023-03-12,2023-03-15
69,69,27,2023-07-16,2023-07-19,2023-07-19
70,70,7,2023-12-03,2023-12-08,2023-12-06
71,71,1,2023-07-26,2023-07-31,2023-07-31
72,72,9,2023-01-28,2023-01-30,2023-01-28
73,73,15,2023-06-23,2023-06-28,2023-07-02
74,74,26,2023-10-29,2023-11-01,2023-11-03
75,75,1,2023-05-15,2023-05-20,2023-05-20
76,76,27,2023-11-25,2023-11-30,2023-12-04
77,77,17,2023-04-29,2023-05-04,2023-05-02
78,78,30,2023-11-23,2023-11-27,2023-11-27
79,79,9,2023-10-06,2023-10-14,2023-10-16
80,80,23,2023-08-04,2023-08-13,2023-08-13
81,81,30,2023-08-14,2023-08-21,2023-08-21
82,82,15,2023-01-24,2023-02-02,2023-01-31
83,83,10,2023-04-27,2023-05-04,2023-05-05
84,84,28,2023-05-22,2023-05-27,2023-05-31
85,85,20,2023-02-19,2023-02-23,2023-02-27
86,86,3,2023-01-04,2023-01-07,2023-01-09
87,87,28,2023-04-03,2023-04-05,2023-04-08
88,88,5,2023-05-23,2023-05-31,2023-05-29
89,89,2,2023-11-18,2023-11-26,2023-11-25
90,90,22,2023-02-09,2023-02-18,2023-02-18
91,91,6,2023-10-21,2023-10-27,2023-10-26
92,92,16,2023-05-22,2023-05-29,2023-06-01
93,93,12,2023-12-24,2023-12-26,2023-12-24
94,94,17,2023-12-01,2023-12-10,2023-12-13
95,95,12,2023-09-19,2023-09-27,2023-09-30
96,96,26,2023-06-14,2023-06-20,2023-06-24
97,97,25,2023-06-28,2023-07-05,2023-07-06
98,98,17,2023-01-12,2023-01-15,2023-01-17
99,99,22,2023-09-21,2023-09-25,2023-09-23
100,100,7,2023-05-22,2023-05-27,2023-05-28
101,101,24,2023-06-24,2023-06-28,2023-07-01
102,102,16,2023-01-16,2023-01-22,2023-01-26
103,103,18,2023-06-21,2023-06-30,2023-06-28
104,104,27,2023-05-11,2023-05-18,2023-05-22
105,105,8,2023-03-27,2023-04-01,2023-04-04
106,106,27,2023-11-18,2023-11-27,2023-11-28
107,107,26,2023-11-16,2023-11-22,2023-11-21
108,108,30,2023-04-14,2023-04-22,2023-04-23
109,109,18,2023-11-28,2023-12-04,2023-12-06
110,110,2,2023-10-03,2023-10-10,2023-10-09
111,111,9,2023-09-23,2023-10-01,2023-10-05
112,112,23,2023-02-09,2023-02-14,2023-02-14
113,113,24,2023-04-07,2023-04-09,2023-04-08
114,114,16,2023-04-09,2023-04-18,2023-04-17
115,115,17,2023-11-03,2023-11-05,2023-11-05
116,116,10,2023-03-12,2023-03-19,2023-03-18
117,117,22,2023-11-16,2023-11-23,2023-11-22
118,118,1,2023-08-28,2023-09-03,2023-09-06
119,119,21,2023-12-04,2023-12-07,2023-12-07
120,120,18,2023-05-20,2023-05-29,2023-06-01
121,121,15,2023-03-19,2023-03-23,2023-03-23
122,122,9,2023-02-05,2023-02-07,2023-02-09
123,123,3,2023-01-02,2023-01-07,2023-01-06
124,124,16,2023-10-24,2023-10-30,2023-10-29
125,125,26,2023-11-19,2023-11-23,2023-11-22
126,126,23,2023-03-02,2023-03-09,2023-03-11
127,127,15,2023-11-18,2023-11-26,2023-11-29
128,128,2,2023-12-18,2023-12-22,2023-12-26
129,129,10,2023-11-27,2023-12-03,2023-12-02
130,130,4,2023-09-28,2023-10-02,2023-10-02
131,131,26,2023-12-29,2024-01-01,2024-01-01
132,132,19,2023-08-18,2023-08-24,2023-08-24
133,133,17,2023-09-29,2023-10-06,2023-10-06
134,134,10,2023-11-14,2023-11-18,2023-11-22
135,135,22,2023-10-16,2023-10-20,2023-10-23
136,136,21,2023-10-19,2023-10-26,2023-10-29
137,137,6,2023-08-02,2023-08-04,2023-08-07
138,138,30,2023-06-15,2023-06-19,2023-06-20
139,139,1,2023-01-09,2023-01-18,2023-01-18
140,140,11,2023-12-07,2023-12-11,2023-12-13
141,141,16,2023-03-22,2023-03-30,2023-04-02
142,142,24,2023-03-06,2023-03-15,2023-03-18
143,143,20,2023-05-15,2023-05-17,2023-05-18
144,144,7,2023-03-31,2023-04-06,2023-04-09
145,145,24,2023-08-26,2023-09-03,2023-09-07
146,146,3,2023-02-14,2023-02-23,2023-02-22
147,147,14,2023-04-01,2023-04-03,2023-04-03
148,148,4,2023-10-26,2023-11-04,2023-11-07
149,149,9,2023-11-26,2023-12-01,2023-11-30
150,150,15,2023-10-25,2023-10-30,2023-10-30
151,151,12,2023-04-16,2023-04-25,2023-04-25
152,152,25,2023-01-17,2023-01-20,2023-01-23
153,153,16,2023-10-19,2023-10-23,2023-10-27
154,154,23,2023-07-02,2023-07-09,2023-07-10
155,155,19,2023-05-06,2023-05-11,2023-05-11
156,156,14,2023-12-20,2023-12-26,2023-12-26
157,157,27,2023-01-24,2023-01-30,2023-01-28
158,158,4,2023-03-05,2023-03-12,2023-03-16
159,159,23,2023-05-26,2023-06-04,2023-06-08
160,160,29,2023-06-06,2023-06-11,2023-06-13
161,161,6,2023-05-26,2023-05-28,2023-06-01
162,162,22,2023-08-15,2023-08-23,2023-08-25
163,163,11,2023-11-07,2023-11-14,2023-11-13
164,164,4,2023-04-15,2023-04-18,2023-04-17
165,165,26,2023-04-15,2023-04-23,2023-04-24
166,166,8,2023-02-09,2023-02-18,2023-02-17
167,167,9,2023-07-20,2023-07-22,2023-07-26
168,168,26,2023-05-16,2023-05-19,2023-05-17
169,169,23,2023-03-10,2023-03-17,2023-03-16
170,170,24,2023-06-30,2023-07-05,2023-07-05
171,171,26,2023-02-15,2023-02-23,2023-02-22
172,172,2,2023-01-18,2023-01-20,2023-01-23
173,173,20,2023-04-25,2023-04-30,2023-04-29
174,174,3,2023-06-09,2023-06-12,2023-06-12
175,175,6,2023-10-18,2023-10-24,2023-10-22
176,176,2,2023-08-21,2023-08-30,2023-09-01
177,177,23,2023-06-10,2023-06-17,2023-06-15
178,178,8,2023-02-09,2023-02-11,2023-02-09
179,179,20,2023-04-08,2023-04-13,2023-04-14
180,180,24,2023-10-19,2023-10-22,2023-10-23
181,181,8,2023-09-13,2023-09-19,2023-09-23
182,182,3,2023-07-16,2023-07-18,2023-07-18
183,183,17,2023-03-31,2023-04-03,2023-04-07
184,184,11,2023-11-20,2023-11-22,2023-11-23
185,185,3,2023-01-12,2023-01-14,2023-01-17
186,186,26,2023-01-08,2023-01-16,2023-01-18
187,187,12,2023-05-05,2023-05-09,2023-05-09
188,188,14,2023-11-29,2023-12-07,2023-12-10
189,189,29,2023-12-23,2024-01-01,2024-01-02
190,190,1,2023-05-01,2023-05-06,2023-05-05
191,191,12,2023-10-25,2023-10-29,2023-11-01
192,192,30,2023-06-10,2023-06-12,2023-06-13
193,193,18,2023-10-31,2023-11-03,2023-11-05
194,194,24,2023-08-20,2023-08-25,2023-08-26
195,195,4,2024-01-02,2024-01-05,2024-01-05
196,196,30,2023-08-08,2023-08-16,2023-08-19
197,197,29,2023-07-05,2023-07-08,2023-07-12
198,198,25,2023-01-17,2023-01-24,2023-01-23
199,199,23,2023-06-07,2023-06-13,2023-06-16
200,200,3,2023-05-19,2023-05-21,2023-05-21
201,201,30,2023-09-19,2023-09-22,2023-09-21
